DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0
2021-01-01,01-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,Nov-Feb,Winter,1.0
,02-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,Mar-Jun,Summer,2.0
,03-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,,,
,04-00,11.3,130,0.96,2442.6073308659334,0,1,78,49,,,,,,Weekend,1,
,05-00,11.2,148,0.96,2756.205521881124,0,1,78,49,,,,,,Weekday,0,
,06-00,11.2,172,0.96,3203.1577686726573,0,1,78,49,,,,,,Missing Values,66,
,07-00,11.5,218,0.96,4168.561319592168,0,1,83,34,,,,,,,,
,08-00,11.2,274,0.96,5102.704817536675,0,1,83,34,,,,,,,,
,09-00,11.2,280,0.96,5214.442879234559,0,1,83,34,,,,,,,,
,10-00,11.5,254,0.96,4856.947592552343,0,1,81,42,,,,,,,,
,11-00,11.5,254,0.96,4856.947592552343,0,1,81,42,,,,,,,,
,12-00,11.5,243,0.96,4646.607342481178,0,1,81,42,,,,,,,,
,13-00,11.6,231,0.96,4455.555210203101,0,1,71,42,,,,,,,,
,14-00,11.8,214,0.96,4198.823711302011,0,1,71,87,,,,,,,,
,15-00,11.8,205,0.96,4022.2376673687495,0,1,71,87,,,,,,,,
,16-00,11.7,215,0.96,4182.694854181929,0,1,67,87,,,,,,,,
,17-00,11.5,194,0.96,3709.637137618718,0,1,67,87,,,,,,,,
,18-00,11.7,44,0.96,855.9933655069996,0,1,67,87,,,,,,,,
,19-00,11.8,42,0.96,824.0682050218901,0,1,66,88,,,,,,,,
,20-00,11.8,39,0.96,765.2061903774694,0,1,66,88,,,,,,,,
,21-00,11.8,30,0.96,588.6201464442073,0,1,66,88,,,,,,,,
,22-00,11.8,25,0.96,490.516788703506,0,1,62,89,,,,,,,,
,23-00,11.8,22,0.96,431.6547740590853,0,1,62,89,,,,,,,,
,24-00,11.8,21,0.96,412.03410251094505,0,1,62,89,,,,,,,,
2021-01-02,01-00,11.7,95,0.95,1828.9157489821664,0,1,65,90,,,,,,,,
,02-00,11.7,95,0.95,1828.9157489821664,0,1,65,90,,,,,,,,
,03-00,11.7,95,0.95,1828.9157489821664,0,1,65,90,,,,,,,,
,04-00,11.5,100,0.95,1892.2655072689984,0,1,78,48,,,,,,,,
,05-00,11.4,135,0.95,2532.3448832060767,0,1,78,48,,,,,,,,
,06-00,11.3,162,0.95,3012.1575979188074,0,1,78,48,,,,,,,,
,07-00,11.5,213,0.95,4030.5255304829666,0,1,83,32,,,,,,,,
,08-00,11.3,257,0.95,4778.546312747738,0,1,83,32,,,,,,,,
,09-00,11.3,258,0.95,4797.13987816699,0,1,83,32,,,,,,,,
,10-00,11.3,262,0.95,4871.514139843997,0,1,80,38,,,,,,,,
,11-00,11.5,260,0.95,4919.8903188993945,0,1,80,38,,,,,,,,
,12-00,11.6,256,0.95,4886.3231742487105,0,1,80,38,,,,,,,,
,13-00,11.9,221,0.95,4327.36439788412,0,1,71,73,,,,,,,,
,14-00,11.6,225,0.95,4294.6199773670305,0,1,71,73,,,,,,,,
,15-00,11.7,222,0.95,4273.887329200431,0,1,71,73,,,,,,,,
,16-00,11.7,208,0.95,4004.3629030346383,0,1,67,88,,,,,,,,
,17-00,11.9,190,0.95,3720.3585321175697,0,1,67,88,,,,,,,,
,18-00,11.7,46,0.95,885.5802574018911,0,1,67,88,,,,,,,,
,19-00,11.8,43,0.95,834.9004507724259,0,1,66,88,,,,,,,,
,20-00,11.8,40,0.95,776.6515821138845,0,1,66,88,,,,,,,,
,21-00,11.8,34,0.95,660.1538447968018,0,1,66,88,,,,,,,,
,22-00,11.8,26,0.95,504.82352837402493,0,1,62,89,,,,,,,,
,23-00,11.8,23,0.950000000000001,446.5746597154841,0,1,62,89,,,,,,,,
,24-00,11.6,114,0.950000000000001,2175.940788532631,0,1,62,89,,,,,,,,
2021-01-03,01-00,11.8,114,0.96,2236.7565564879874,1,1,65,92,,,,,,,,
,02-00,11.8,114,0.96,2236.7565564879874,1,1,65,92,,,,,,,,
,03-00,11.8,120,0.96,2354.4805857768292,1,1,65,92,,,,,,,,
,04-00,11.8,128,0.96,2511.445958161951,1,1,77,52,,,,,,,,
,05-00,11.8,143,0.96,2805.756031384054,1,1,77,52,,,,,,,,
,06-00,11.5,168,0.96,3212.4692738141475,1,1,77,52,,,,,,,,
,07-00,11.6,233,0.96,4494.131445789274,1,1,82,33,,,,,1.0,,,
,08-00,11.4,290,0.96,5497.1135710297995,1,1,82,33,,,,,1.0,,,
,09-00,11.3,266,0.96,4997.950384694909,1,1,82,33,1.0,,,,,,,
,10-00,11.4,279,0.96,5288.602366611428,1,1,80,41,,,,,,,,
,11-00,11.4,272,0.96,5155.913418345191,1,1,80,41,,,,,,,,
,12-00,11.7,266,0.96,5174.868982383225,1,1,80,41,,,,,,,,
,13-00,11.8,254,0.96,4983.650573227621,1,1,71,76,,,,,,,,
,14-00,11.8,254,0.96,4983.650573227621,1,1,71,76,,,,,,,,
,15-00,11.8,242,0.96,4748.202514649938,1,1,71,76,,,,,,,,
,16-00,11.2,230,0.96,4283.29236508553,1,1,68,85,,,,,,,,
,17-00,11.5,181,0.96,3461.0532057164332,1,1,68,85,,,,,,,,
,18-00,11.6,43,0.96,829.3890651027416,1,1,68,85,,,,,,,,
,19-00,11.7,43,0.96,836.5389708363859,1,1,64,89,,,,,,,,
,20-00,11.7,39,0.96,758.7213921539313,1,1,64,89,,,,,,,,
,21-00,11.7,35,0.96,680.9038134714768,1,1,64,89,,,,,,,,
,22-00,11.8,29,0.96,568.999474896067,1,1,67,88,,,,,,,,
,23-00,11.8,22,0.96,431.6547740590853,1,1,67,88,,,,,,,,
,24-00,11.8,22,0.96,431.6547740590853,1,1,67,88,,,,,,,,
2021-01-04,01-00,11.8,114,0.97,2260.0561039514037,0,1,68,88,,,,,,,,
,02-00,11.8,114,0.97,2260.0561039514037,0,1,68,88,,,,,,,,
,03-00,11.8,114,0.97,2260.0561039514037,0,1,68,88,,,,,,,,
,04-00,11.7,130,0.97,2555.4157999628937,0,1,77,54,,,,,,,,
,05-00,11.6,146,0.97,2845.3992102676903,0,1,77,54,,,,,,,,
,06-00,11.5,159,0.97,3072.043254590501,0,1,77,54,,,,,,,,
,07-00,11.6,250,0.97,4872.258921691251,0,1,83,32,,,,,,,,
,08-00,11.6,262,0.97,5106.127349932431,0,1,83,32,,,,,,,,
,09-00,11.6,262,0.97,5106.127349932431,0,1,83,32,,,,,,,,
,10-00,11.6,269,0.97,5242.550599739786,0,1,80,35,,,,,,,,
,11-00,11.8,250,0.97,4956.263385858342,0,1,80,35,,,,,,,,
,12-00,11.7,227,0.97,4462.149127627516,0,1,80,35,,,,,,,,
,13-00,11.7,220,0.97,4324.5498153218205,0,1,72,70,,,,,,,,
,14-00,11.4,210,0.97,4022.133744320295,0,1,72,70,,,,,,,,
,15-00,11.4,220,0.97,4213.663922621262,0,1,72,70,,,1.0,,,,,
,16-00,11.2,226,0.97,4252.641993994791,0,1,68,83,,,,,,,,
,17-00,11.3,218,0.97,4138.731940584217,0,1,68,83,,,,,,,,
,18-00,11.6,42,0.97,818.5394988441301,0,1,68,83,,,,,,,,
,19-00,11.6,42,0.97,818.5394988441301,0,1,66,88,,,,,,,,
,20-00,11.8,41,0.97,812.827195280768,0,1,66,88,,,,,,,,
,21-00,11.8,33,0.97,654.2267669333012,0,1,66,88,,,,,,,,
,22-00,11.8,26,0.97,515.4513921292676,0,1,63,87,,,,,,,,
,23-00,11.8,23,0.97,455.9762314989675,0,1,63,87,,,,,,,,
,24-00,11.7,106,0.97,2083.6467292005136,0,1,63,87,,,,,,,,
2021-01-05,01-00,11.7,106,0.96,2062.1658350850444,0,1,66,90,,,,,,,,
,02-00,11.7,106,0.96,2062.1658350850444,0,1,66,90,,,,,,,,
,03-00,11.7,106,0.96,2062.1658350850444,0,1,66,90,,,,,,,,
,04-00,11.5,120,0.96,2294.620909867248,0,1,80,40,,,,,,,,
,05-00,11.4,143,0.96,2710.645657438832,0,1,80,40,,,,,,,,
,06-00,11.8,162,0.96,3178.548790798719,0,1,80,40,,,,,,,,
,07-00,11.3,230,0.96,4321.536046916651,0,1,83,32,,,,,,,,
,08-00,11.4,271,0.96,5136.9578543071575,0,1,83,32,,,,,,,,
,09-00,11.4,284,0.96,5383.380186801597,0,1,83,32,,,,,,,,
,10-00,11.6,244,0.96,4706.3007415132315,0,1,81,38,,,,,,,,
,11-00,11.6,253,0.96,4879.893801651014,0,1,81,38,,,,,,,,
,12-00,11.6,249,0.96,4802.741330478667,0,1,81,38,,,,,,,,
,13-00,11.7,241,0.96,4688.509115617883,0,1,72,69,,,,,,,,
,14-00,11.7,234,0.96,4552.328352923588,0,1,72,69,,,,,,,,
,15-00,11.7,234,0.96,4552.328352923588,0,1,72,69,,,,,,,,
,16-00,11.8,223,0.96,4375.409755235274,0,1,71,78,,,,,,,,
,17-00,11.7,205,0.96,3988.1509074757932,0,1,71,78,,,,,,,,
,18-00,11.6,41,0.96,790.8128295165676,0,1,71,78,,,,,,,,
,19-00,11.6,43,0.96,829.3890651027416,0,1,65,88,,,,,,,,
,20-00,11.6,41,0.96,790.8128295165676,0,1,65,88,,,,,,,,
,21-00,11.7,32,0.96,622.540629459636,0,1,65,88,,,,,,,,
,22-00,11.7,26,0.96,505.8142614359543,0,1,69,85,,,,,,,,
,23-00,11.7,26,0.96,505.8142614359543,0,1,69,85,,,,,,,,
,24-00,11.6,106,0.96,2044.5404860672234,0,1,69,85,,,,,,,,
2021-01-06,01-00,11.6,106,0.94,2001.9458926074897,0,1,73,86,,,,,,,,
,02-00,11.6,106,0.94,2001.9458926074897,0,1,73,86,,,,,,,,
,03-00,11.6,106,0.94,2001.9458926074897,0,1,73,86,,,,,,,,
,04-00,11.4,117,0.94,2171.596805107246,0,1,80,56,,,,,,,,
,05-00,11.1,139,0.94,2512.038319538139,0,1,80,56,,,,,,,,
,06-00,11.3,186,0.94,3421.9989241073704,0,1,80,56,,,,,,,,
,07-00,11.4,241,0.94,4473.118205391849,0,1,81,55,,,,,,,,
,08-00,11.4,271,0.94,5029.937899009092,0,1,81,55,,,,,,,,
,09-00,11.4,276,0.94,5122.741181278631,0,1,81,55,,,,,,,,
,10-00,11.6,265,0.94,5004.8647315187245,0,1,80,59,,,,,,,,
,11-00,11.6,257,0.94,4853.774475472876,0,1,80,59,,,,,,,,
,12-00,11.6,257,0.94,4853.774475472876,0,1,80,59,,,,,,,,
,13-00,11.6,249,0.94,4702.6842194270275,0,1,76,74,,,,,,,,
,14-00,11.8,191,0.94,3669.4743434928114,0,1,76,74,,,,,,,,
,15-00,11.6,182,0.94,3437.303325043048,0,1,76,74,,,,,,,,
,16-00,11.6,182,0.94,3437.303325043048,0,1,74,79,,,,,,,,
,17-00,11.8,191,0.94,3669.4743434928114,0,1,74,79,,,,,,,,
,18-00,11.8,40,0.94,768.4763023021594,0,1,74,79,,,,,,,,
,19-00,11.8,40,0.94,768.4763023021594,0,1,70,83,,,,,,,,
,20-00,11.8,39,0.94,749.2643947446054,0,1,70,83,,,,,,,,
,21-00,11.8,32,0.94,614.7810418417275,0,1,70,83,,,,,,,,
,22-00,11.8,26,0.94,499.5095964964036,0,1,72,89,,,,,,,,
,23-00,11.8,26,0.94,499.5095964964036,0,1,72,89,,,,,,,,
,24-00,11.8,97,0.94,1863.5550330827366,0,1,72,89,,,,,,,,
2021-01-07,01-00,11.8,97,0.98,1942.8552472564702,0,1,71,89,,,,,,,,
,02-00,11.8,97,0.98,1942.8552472564702,0,1,71,89,,,,,,,,
,03-00,11.8,97,0.98,1942.8552472564702,0,1,71,89,,,,,,,,
,04-00,11.8,97,0.98,1942.8552472564702,0,1,72,87,,,,,,,,
,05-00,11.7,117,0.98,2323.584263471415,0,1,72,87,,,,,,,,
,06-00,11.6,167,0.98,3288.22224793398,0,1,72,87,,,,,,,,
,07-00,11.5,215,0.98,4196.845709279768,0,1,77,68,,,,,,,,
,08-00,11.5,243,0.98,4743.411662116203,0,1,77,68,,,,,,,,
,09-00,11.5,239,0.98,4665.330811710997,0,1,77,68,,,,,,,,
,10-00,11.5,241,0.98,4704.371236913599,0,1,78,67,,,,,,,,
,11-00,11.7,224,0.98,4448.571581346982,0,1,78,67,,,,,,,,
,12-00,11.3,100,0.98,1918.0730643017746,0,1,78,67,,,,,,,,
,13-00,11.6,175,0.98,3445.741876577524,0,1,74,79,,,,,,,,
,14-00,11.5,180,0.98,3513.638268234224,0,1,74,79,,,,,,,,
,15-00,11.6,170,0.98,3347.292108675309,0,1,74,79,,,,,,,,
,16-00,11.7,175,0.98,3475.44654792733,0,1,73,83,,,1.0,,,,,
,17-00,11.7,166,0.98,3296.7092968910674,0,1,73,83,,,,,,,,
,18-00,11.7,42,0.98,834.1071715025593,0,1,73,83,,,,,,,,
,19-00,11.8,44,0.98,881.2951637039658,0,1,73,84,,,,,,,,
,20-00,11.8,44,0.98,881.2951637039658,0,1,73,84,,,,,,,,
,21-00,11.8,38,0.98,761.1185504716068,0,1,73,84,,,,,,,,
,22-00,11.8,30,0.98,600.8830661617949,0,1,72,86,,,,,,,,
,23-00,11.8,27,0.98,540.7947595456153,0,1,72,86,,,,,,,,
,24-00,11.8,94,0.98,1882.7669406402906,0,1,72,86,,,,,,,,
2021-01-08,01-00,11.8,94,0.97,1863.5550330827366,0,1,74,89,,,,,,,,
,02-00,11.8,94,0.97,1863.5550330827366,0,1,74,89,,,,,,,,
,03-00,11.8,94,0.97,1863.5550330827366,0,1,74,89,,,,,,,,
,04-00,11.8,94,0.97,1863.5550330827366,0,1,81,47,,,,,,,,
,05-00,11.5,134,0.97,2589.01758562973,0,1,81,47,,,,,,,,
,06-00,11.5,162,0.97,3130.0063348657936,0,1,81,47,,,,,,,,
,07-00,11.5,220,0.97,4250.625886854781,0,1,85,32,,,,,,,,
,08-00,11.6,259,0.97,5047.660242872136,0,1,85,32,,,,,,,,
,09-00,11.6,250,0.97,4872.258921691251,0,1,85,32,,,,,,,,
,10-00,11.8,259,0.97,5134.6888677492425,0,1,83,35,,,,,,,,
,11-00,11.9,219,0.97,4378.4806813170935,0,1,83,35,,,,,,,,
,12-00,11.6,210,0.97,4092.697494220651,0,1,83,35,,,,,,,,
,13-00,11.6,211,0.97,4112.186529907416,0,1,75,69,,,,,,,,
,14-00,11.3,207,0.97,3929.89684266483,0,1,75,69,,,,,,,,
,15-00,11.3,207,0.97,3929.89684266483,0,1,75,69,,,,,,,,
,16-00,11.3,206,0.97,3910.911833763067,0,1,72,84,,,,,,,,
,17-00,11.3,204,0.97,3872.9418159595425,0,1,72,84,,,,,,,,
,18-00,11.8,45,0.97,892.1274094545015,0,1,72,84,,,,,,,,
,19-00,11.8,47,0.97,931.7775165413683,0,1,72,84,,,,,,,,
,20-00,11.8,46,0.97,911.952462997935,0,1,72,84,,,,,,,,
,21-00,11.8,45,0.97,892.1274094545015,0,1,72,84,,,,,,,,
,22-00,11.8,40,0.97,793.0021417373348,0,1,64,87,,,,,,,,
,23-00,11.8,36,0.97,713.7019275636012,0,1,64,87,,,,,,,,
,24-00,11.8,96,0.97,1903.2051401696033,0,1,64,87,,,,,,,,
2021-01-09,01-00,11.8,100,0.97,1982.5053543433369,0,1,67,90,,,,,,,,
,02-00,11.8,100,0.97,1982.5053543433369,0,1,67,90,,,,,,,,
,03-00,11.8,102,0.97,2022.1554614302033,0,1,67,90,,,,,,,,
,04-00,11.7,103,0.97,2024.6755953552158,0,1,81,30,,,,,,,,
,05-00,11.4,136,0.97,2604.8104248931436,0,1,81,30,,,,,,,,
,06-00,11.2,198,0.97,3725.7659947387997,0,1,81,30,,,,,,,,
,07-00,11.4,238,0.97,4558.418243563002,0,1,87,22,,,,,,,,
,08-00,11.4,268,0.97,5133.0087784659,0,1,87,22,,,,,,,,
,09-00,11.5,284,0.97,5487.171599394354,0,1,87,22,,,,,,,,
,10-00,11.5,248,0.97,4791.614636090844,0,1,84,25,1.0,,,,,,,
,11-00,11.7,234,0.97,4599.748439933209,0,1,84,25,1.0,,,,,,,
,12-00,11.5,281,0.97,5429.208519119062,0,1,84,25,,,,,,,,
,13-00,11.2,279,0.97,5249.942992586491,0,1,73,59,,,,,,,,
,14-00,11.4,276,0.97,5286.2329211066735,0,1,73,59,,,,,,,,
,15-00,11.4,271,0.97,5190.46783195619,0,1,73,59,,,,,,,,
,16-00,11.4,271,0.97,5190.46783195619,0,1,69,78,,,,,,,,
,17-00,11.6,271,0.97,5281.528671113317,0,1,69,78,,,,,,,,
,18-00,11.5,168,0.97,3245.9324954163785,0,1,69,78,,,,,,,,
,19-00,11.7,131,0.97,2575.0728445779932,0,1,69,87,,,,,,,,
,20-00,11.8,118,0.97,2339.3563181251375,0,1,69,87,,,,,,,,
,21-00,11.9,105,0.97,2099.2715595355926,0,1,69,87,,,,,,,,
,22-00,11.8,102,0.97,2022.1554614302033,0,1,64,86,,,,,,,,
,23-00,11.8,102,0.97,2022.1554614302033,0,1,64,86,,,,,,,,
,24-00,11.8,100,0.97,1982.5053543433369,0,1,64,86,,,,,,,,
2021-01-10,01-00,11.8,98,0.96,1922.8258117177436,1,1,67,87,,,,,,,,
,02-00,11.8,98,0.96,1922.8258117177436,1,1,67,87,,,,,,,,
,03-00,11.8,98,0.96,1922.8258117177436,1,1,67,87,,,,,,,,
,04-00,11.8,98,0.96,1922.8258117177436,1,1,82,36,,,,,,,,
,05-00,11.6,143,0.96,2758.2008444114426,1,1,82,36,,,,,,,,
,06-00,11.2,186,0.96,3463.879912634385,1,1,82,36,,,,,,,,
,07-00,11.7,211,0.96,4104.877275499474,1,1,88,25,,,,,,,,
,08-00,11.4,274,0.96,5193.824546421259,1,1,88,25,,,,,,,,
,09-00,11.3,276,0.96,5185.8432562999815,1,1,88,25,,,,,,,,
,10-00,11.6,102,0.96,1967.3880148948756,1,1,84,26,,,,,,,,
,11-00,11.2,104,0.96,1936.7930694299787,1,1,84,26,,,,,,,,
,12-00,11.6,255,0.96,4918.470037237189,1,1,84,26,,,,,,,,
,13-00,11.6,273,0.96,5265.656157512755,1,1,74,61,,,,,,,,
,14-00,11.2,288,0.96,5363.426961498403,1,1,74,61,,,,,,,,
,15-00,11.5,233,0.96,4455.388933325574,1,1,74,61,1.0,,,,,,,
,16-00,11.2,272,0.96,5065.458796970714,1,1,71,76,,,,,,,,
,17-00,11.3,258,0.96,4847.636087410852,1,1,71,76,,,,,,,,
,18-00,11.7,166,0.96,3229.429515321862,1,1,71,76,,,,,,,,
,19-00,11.8,45,0.96,882.9302196663108,1,1,65,86,,,,,,,,
,20-00,11.8,46,0.96,902.5508912144511,1,1,65,86,,,,,,,,
,21-00,11.8,45,0.96,882.9302196663108,1,1,65,86,,,,,,,,
,22-00,11.8,35,0.96,686.7235041849084,1,1,65,88,,,,,,,,
,23-00,11.8,27,0.96,529.7581317997865,1,1,65,88,,,,,,,,
,24-00,11.8,99,0.96,1942.446483265884,1,1,65,88,,,,,,,,
2021-01-11,01-00,11.8,99,0.97,1962.6803007999035,0,1,68,87,,,,,,,,
,02-00,11.8,99,0.97,1962.6803007999035,0,1,68,87,,,,,,,,
,03-00,11.8,99,0.97,1962.6803007999035,0,1,68,87,,,,,,,,
,04-00,11.8,99,0.97,1962.6803007999035,0,1,79,49,,,,,,,,
,05-00,11.6,150,0.97,2923.3553530147506,0,1,79,49,,,,,,,,
,06-00,11.4,175,0.97,3351.7781202669125,0,1,79,49,,,,,,,,
,07-00,11.6,228,0.97,4443.500136582421,0,1,85,27,,,,,,,,
,08-00,11.2,280,0.97,5268.759992559919,0,1,85,27,,,,,,,,
,09-00,11.2,295,0.97,5551.014992161343,0,1,85,27,,,,,,,,
,10-00,11.3,237,0.97,4499.447109717704,0,1,83,43,,,,,,,,
,11-00,11.5,249,0.97,4810.935662849275,0,1,83,43,,,,,,,,
,12-00,11.5,248,0.97,4791.614636090844,0,1,83,43,,,,,,,,
,13-00,11.7,233,0.97,4580.09139531811,0,1,73,71,,,,,,,,
,14-00,11.5,215,0.97,4154.020753062628,0,1,73,71,,,,,,,,
,15-00,11.5,252,0.97,4868.898743124568,0,1,73,71,1.0,,,,,,,
,16-00,11.5,227,0.97,4385.873074163797,0,1,71,76,,,,,,,,
,17-00,11.3,226,0.97,4290.612011798317,0,1,71,76,,,,,,,,
,18-00,11.8,159,0.97,3152.1835134059056,0,1,71,76,,,,,,,,
,19-00,11.8,48,0.97,951.6025700848016,0,1,68,83,,,,,,,,
,20-00,11.8,42,0.97,832.6522488242015,0,1,68,83,,,,,,,,
,21-00,11.8,41,0.97,812.827195280768,0,1,68,83,,,,,,,,
,22-00,11.8,33,0.97,654.2267669333012,0,1,67,88,,,,,,,,
,23-00,11.8,26,0.97,515.4513921292676,0,1,67,88,,,,,,,,
,24-00,11.8,100,0.97,1982.5053543433369,0,1,67,88,,,,,,,,
2021-01-12,01-00,11.8,100,0.97,1982.5053543433369,0,1,68,92,,,,,,,,
,02-00,11.6,102,0.97,1987.8816400500305,0,1,68,92,,,,,,,,
,03-00,11.6,105,0.97,2046.3487471103256,0,1,68,92,,,,,,,,
,04-00,11.5,107,0.97,2067.3498631520984,0,1,77,56,,,,,,,,
,05-00,11.4,158,0.97,3026.1768171552694,0,1,77,56,,,,,,,,
,06-00,11.2,181,0.97,3405.8769951905188,0,1,77,56,,,,,,,,
,07-00,11.5,223,0.97,4308.588967130074,0,1,82,44,,,,,,,,
,08-00,11.2,268,0.97,5042.9559928787785,0,1,82,44,,,,,,,,
,09-00,11.3,289,0.97,5486.667572609352,0,1,82,44,,,,,,,,
,10-00,11.4,241,0.97,4615.877297053292,0,1,81,54,,,,,,,,
,11-00,11.4,248,0.97,4749.948421863968,0,1,81,54,,,,,,,,
,12-00,11.6,243,0.97,4735.835671883896,0,1,81,54,,,,,,,,
,13-00,11.6,243,0.97,4735.835671883896,0,1,69,78,,,,,,,,
,14-00,11.6,232,0.97,4521.456279329481,0,1,69,78,,,,,,,,
,15-00,11.7,232,0.97,4560.434350703011,0,1,69,78,,,,,,,,
,16-00,11.8,226,0.97,4480.462100815941,0,1,70,83,,,,,,,,
,17-00,11.8,212,0.97,4202.911351207874,0,1,70,83,,,,,,,,
,18-00,11.8,43,0.97,852.4773023676348,0,1,70,83,,,,,,,,
,19-00,11.8,42,0.97,832.6522488242015,0,1,69,85,,,,,,,,
,20-00,11.8,40,0.97,793.0021417373348,0,1,69,85,,,,,,,,
,21-00,11.8,37,0.97,733.5269811070347,0,1,69,85,,,,,,,,
,22-00,11.8,31,0.97,614.5766598464344,0,1,66,88,,,,,,,,
,23-00,11.8,27,0.97,535.2764456727009,0,1,66,88,,,,,,,,
,24-00,11.8,27,0.97,535.2764456727009,0,1,66,88,,,,,,,,
2021-01-13,01-00,11.7,99,0.97,1946.0474168948192,0,1,70,87,,,,,,,,
,02-00,11.7,99,0.97,1946.0474168948192,0,1,70,87,,,,,,,,
,03-00,11.7,99,0.97,1946.0474168948192,0,1,70,87,,,,,,,,
,04-00,11.6,108,0.97,2104.8158541706207,0,1,76,63,,,,,,,,
,05-00,11.6,115,0.97,2241.2391039779754,0,1,76,63,,,,,,,,
,06-00,11.5,193,0.97,3728.958164377149,0,1,76,63,,,,,,,,
,07-00,11.4,257,0.97,4922.325582334837,0,1,81,48,,,,,,,,
,08-00,11.4,280,0.97,5362.844992427061,0,1,81,48,,,,,,,,
,09-00,11.4,287,0.97,5496.916117237737,0,1,81,48,,,,,,,,
,10-00,11.4,287,0.97,5496.916117237737,0,1,84,32,,,,,,,,
,11-00,11.4,278,0.97,5324.538956766867,0,1,84,32,,,,,,,,
,12-00,11.5,253,0.97,4888.219769882999,0,1,84,32,,,,,,,,
,13-00,11.5,243,0.97,4695.009502298691,0,1,82,71,,,,,,,,
,14-00,11.5,243,0.97,4695.009502298691,0,1,82,71,,,,,,,,
,15-00,11.5,237,0.97,4579.083341748105,0,1,82,71,,,,,,,,
,16-00,11.5,233,0.97,4501.799234714383,0,1,71,82,,,,,,,,
,17-00,11.8,192,0.97,3806.4102803392066,0,1,71,82,,,,,,,,
,18-00,11.8,41,0.97,812.827195280768,0,1,71,82,,,,,,,,
,19-00,11.8,42,0.97,832.6522488242015,0,1,69,88,,,,,,,,
,20-00,11.8,39,0.97,773.1770881939013,0,1,69,88,,,,,,,,
,21-00,11.8,35,0.97,693.8768740201679,0,1,69,88,,,,,,,,
,22-00,11.8,28,0.97,555.1014992161342,0,1,64,86,,,,,,,,
,23-00,11.8,28,0.97,555.1014992161342,0,1,64,86,,,,,,,,
,24-00,11.8,28,0.97,555.1014992161342,0,1,64,86,,,,,,,,
2021-01-14,01-00,11.7,102,0.97,2005.018550740117,0,1,67,88,,,,,,,,
,02-00,11.7,102,0.97,2005.018550740117,0,1,67,88,,,,,,,,
,03-00,11.6,102,0.97,1987.8816400500305,0,1,67,88,,,,,,,,
,04-00,11.6,102,0.97,1987.8816400500305,0,1,80,45,,,,,,,,
,05-00,11.4,121,0.97,2317.515157441694,0,1,80,45,,,,,,,,
,06-00,11.3,181,0.97,3436.286611219006,0,1,80,45,,,,,,,,
,07-00,11.2,215,0.97,4045.6549942870806,0,1,86,25,,,,,,,,
,08-00,11.3,243,0.97,4613.357163128279,0,1,86,25,,,,,,,,
,09-00,11.3,243,0.97,4613.357163128279,0,1,86,25,,,,,,,,
,10-00,11.3,266,0.97,5050.012367868815,0,1,83,26,,,,,,,,
,11-00,11.6,154,0.97,3001.3114957618104,0,1,83,26,,,,1.0,,,,
,12-00,11.6,242,0.97,4716.3466361971305,0,1,83,26,,,,,,,,
,13-00,11.5,244,0.97,4714.330529057122,0,1,72,67,,,,,,,,
,14-00,11.7,232,0.97,4560.434350703011,0,1,72,67,,,,,,,,
,15-00,11.4,230,0.97,4405.194100922227,0,1,72,67,,,,,,,,
,16-00,11.3,237,0.97,4499.447109717704,0,1,68,78,,,,,,,,
,17-00,11.3,229,0.97,4347.567038503604,0,1,68,78,,,,,,,,
,18-00,11.6,34,0.97,662.6272133500102,0,1,68,78,,,,,,,,
,19-00,11.7,46,0.97,904.2240522945625,0,1,68,87,,,,,,,,
,20-00,11.7,42,0.97,825.5958738341658,0,1,68,87,,,,,,,,
,21-00,11.7,35,0.97,687.9965615284714,0,1,68,87,,,,,,,,
,22-00,11.7,32,0.97,629.0254276831739,0,1,62,87,,,,,,,,
,23-00,11.7,30,0.97,589.7113384529755,0,1,62,87,,,,,,,,
,24-00,11.7,106,0.97,2083.6467292005136,0,1,62,87,,,,,,,,
2021-01-15,01-00,11.7,106,0.97,2083.6467292005136,0,1,66,79,,,,,,,,
,02-00,11.7,106,0.97,2083.6467292005136,0,1,66,79,,,,,,,,
,03-00,11.7,106,0.97,2083.6467292005136,0,1,66,79,,,,,,,,
,04-00,11.6,110,0.97,2143.7939255441506,0,1,79,37,,,,,,,,
,05-00,11.5,140,0.97,2704.943746180315,0,1,79,37,,,,,,,,
,06-00,11.3,163,0.97,3094.5564509872816,0,1,79,37,,,,,,,,
,07-00,11.4,220,0.97,4213.663922621262,0,1,86,29,,,,,,,,
,08-00,11.1,293,0.97,5464.154376212571,0,1,86,29,,,,,,,,
,09-00,11.1,287,0.97,5352.260429942006,0,1,86,29,,,,,,,,
,10-00,11.1,279,0.97,5203.068501581254,0,1,83,36,,,,,,,,
,11-00,11.4,261,0.97,4998.937653655224,0,1,83,36,,,,,,,,
,12-00,11.4,247,0.97,4730.795404033871,0,1,83,36,,,,,,,,
,13-00,11.5,224,0.97,4327.909993888505,0,1,70,66,,,,,,,,
